id,nombre,tipo_cocina,localizacion,descripcion,puntuacion_media,num_valoraciones
1194,Wok Roma,gallega,Santiago,"Restaurante de cocina mexicana situado en un entorno animado y perfecto para grupos. Especializado en tacos mexicanos con salsas caseras, resulta ideal para comidas rápidas entre semana. La presentación de los platos está muy cuidada. Dispone de menú del día con varias alternativas.",3.75,154
1195,Casa Atlántico,mexicana,Sevilla,"Restaurante de cocina japonesa situado en un entorno urbano de estilo industrial. Especializado en carnes a la brasa de larga maduración, resulta ideal para reuniones informales. La mayoría de los ingredientes son de proximidad. Cuenta con carta de vinos seleccionada y cervezas artesanas.",4.72,84
1196,Pizzería Bella,americana,Pontevedra,"Especializado en tapas variadas para compartir, resulta ideal para salidas con amigos. Restaurante de cocina vegana situado en un entorno elegante pero cercano. La relación calidad-precio es uno de sus puntos fuertes. La música de fondo crea un ambiente agradable.",4.87,381
1197,Veggie Del Mar,italiana,Valencia,"Restaurante de cocina mediterránea situado en un entorno acogedor y cálido. Dispone de menú del día con varias alternativas. Especializado en carnes a la brasa de larga maduración, resulta ideal para salidas con amigos. El espacio combina mesas altas y bajas.",4.43,191
1198,Asador Gourmet,italiana,Pontevedra,"El espacio combina mesas altas y bajas. El local admite reservas para grupos grandes. Especializado en ramen casero con caldo de larga cocción, resulta ideal para salidas con amigos. Restaurante de cocina gallega situado en un entorno urbano de estilo industrial.",3.64,424
1199,Casa Castellana,mexicana,Sevilla,"El local admite reservas para grupos grandes. La mayoría de los ingredientes son de proximidad. Especializado en tacos mexicanos con salsas caseras, resulta ideal para comidas rápidas entre semana. Restaurante de cocina italiana situado en un entorno animado y perfecto para grupos.",4.47,293
1200,Wok Gourmet,fusión,A Coruña,"Especializado en tapas variadas para compartir, resulta ideal para brunch de fin de semana. Restaurante de cocina mediterránea situado en un entorno tranquilo y silencioso. Es habitual encontrar productos de temporada en el menú. La música de fondo crea un ambiente agradable.",3.56,396
1201,Sushi Castellana,vegana,Santiago,"Especializado en postres caseros inspirados en recetas locales, resulta ideal para reuniones informales. El equipo de cocina apuesta por sabores intensos. Restaurante de cocina vegana situado en un entorno animado y perfecto para grupos. El servicio es cercano y cuida cada detalle.",4.38,428
1202,Steakhouse Lumière,italiana,Barcelona,"La relación calidad-precio es uno de sus puntos fuertes. Especializado en tapas variadas para compartir, resulta ideal para cenas en pareja. Restaurante de cocina japonesa situado en un entorno informal y desenfadado. El servicio es cercano y cuida cada detalle.",3.66,194
1203,Tapas World,healthy,A Coruña,"Restaurante de cocina mediterránea situado en un entorno animado y perfecto para grupos. La mayoría de los ingredientes son de proximidad. El servicio es cercano y cuida cada detalle. Especializado en ramen casero con caldo de larga cocción, resulta ideal para comidas de negocio.",4.22,384
1204,Trattoria Centro,americana,Vigo,"Especializado en pizzas artesanales al horno de leña, resulta ideal para celebraciones familiares. El espacio combina mesas altas y bajas. Restaurante de cocina vegana situado en un entorno tranquilo y silencioso. La cocina es visible desde la sala principal.",4.82,371
1205,Grill Galicia,healthy,Pontevedra,"Restaurante de cocina healthy situado en un entorno acogedor y cálido. Es habitual encontrar productos de temporada en el menú. Especializado en postres caseros inspirados en recetas locales, resulta ideal para celebraciones familiares. Cuenta con carta de vinos seleccionada y cervezas artesanas.",4.66,411
1206,Ramen Roma,italiana,Málaga,"Especializado en postres caseros inspirados en recetas locales, resulta ideal para brunch de fin de semana. El local admite reservas para grupos grandes. Restaurante de cocina china situado en un entorno acogedor y cálido. Es habitual encontrar productos de temporada en el menú.",4.54,253
1207,Osteria House,italiana,Zaragoza,"Especializado en sushi fresco preparado al momento, resulta ideal para brunch de fin de semana. Es habitual encontrar productos de temporada en el menú. El servicio es cercano y cuida cada detalle. Restaurante de cocina vegana situado en un entorno tranquilo y silencioso.",3.61,255
1208,Trattoria Atlántico,vegana,Pontevedra,"Especializado en carnes a la brasa de larga maduración, resulta ideal para brunch de fin de semana. Suele incorporar sugerencias fuera de carta. Restaurante de cocina fusión situado en un entorno moderno y luminoso. El local admite reservas para grupos grandes.",3.87,68
1209,Curry Rica,mexicana,Zaragoza,"La relación calidad-precio es uno de sus puntos fuertes. Especializado en ramen casero con caldo de larga cocción, resulta ideal para salidas con amigos. Restaurante de cocina vegana situado en un entorno informal y desenfadado. Dispone de menú del día con varias alternativas.",4.19,446
1210,Tapas Roma,healthy,Santiago,"Especializado en platos de cuchara tradicionales, resulta ideal para salidas con amigos. La relación calidad-precio es uno de sus puntos fuertes. Restaurante de cocina mediterránea situado en un entorno romántico con iluminación tenue. Ofrece opciones para vegetarianos y celíacos.",3.68,26
1211,Fonda Do Sol,vegana,A Coruña,"Cuenta con carta de vinos seleccionada y cervezas artesanas. Restaurante de cocina healthy situado en un entorno elegante pero cercano. El equipo de cocina apuesta por sabores intensos. Especializado en pizzas artesanales al horno de leña, resulta ideal para brunch de fin de semana.",4.05,495
1212,Steakhouse Roma,china,Santiago,"La presentación de los platos está muy cuidada. Restaurante de cocina healthy situado en un entorno tranquilo y silencioso. Incluye opciones sin gluten bajo petición. Especializado en hamburguesas gourmet con pan brioche, resulta ideal para salidas con amigos.",4.69,145
1213,Tandoori Rica,fusión,Madrid,"Restaurante de cocina americana situado en un entorno acogedor y cálido. La relación calidad-precio es uno de sus puntos fuertes. Cuenta con carta de vinos seleccionada y cervezas artesanas. Especializado en platos de cuchara tradicionales, resulta ideal para brunch de fin de semana.",4.6,189
1214,Trattoria Rica,healthy,Barcelona,"Especializado en platos de cuchara tradicionales, resulta ideal para comidas rápidas entre semana. La presentación de los platos está muy cuidada. El servicio es cercano y cuida cada detalle. Restaurante de cocina gallega situado en un entorno tranquilo y silencioso.",4.86,332
1215,Fonda Select,americana,Madrid,"Cuenta con carta de vinos seleccionada y cervezas artesanas. Especializado en hamburguesas gourmet con pan brioche, resulta ideal para brunch de fin de semana. Suele incorporar sugerencias fuera de carta. Restaurante de cocina fusión situado en un entorno elegante pero cercano.",4.96,324
1216,Fonda Select,healthy,Valencia,"Se pueden adaptar platos al gusto del cliente. Ofrece opciones para vegetarianos y celíacos. Especializado en tacos mexicanos con salsas caseras, resulta ideal para cenas en pareja. Restaurante de cocina healthy situado en un entorno romántico con iluminación tenue.",4.91,158
1217,Cantina Gourmet,china,Sevilla,"La presentación de los platos está muy cuidada. El servicio es cercano y cuida cada detalle. Restaurante de cocina italiana situado en un entorno romántico con iluminación tenue. Especializado en carnes a la brasa de larga maduración, resulta ideal para reuniones informales.",3.94,371
1218,Tandoori Galicia,mediterránea,Barcelona,"Restaurante de cocina italiana situado en un entorno acogedor y cálido. Especializado en tapas variadas para compartir, resulta ideal para reuniones informales. Es habitual encontrar productos de temporada en el menú. La cocina es visible desde la sala principal.",4.35,426
1219,Sushi Do Sol,japonesa,Madrid,"Es habitual encontrar productos de temporada en el menú. Especializado en pizzas artesanales al horno de leña, resulta ideal para comidas rápidas entre semana. El servicio es cercano y cuida cada detalle. Restaurante de cocina china situado en un entorno moderno y luminoso.",4.57,368
1220,Tandoori Viva,mediterránea,Madrid,"Restaurante de cocina mediterránea situado en un entorno informal y desenfadado. Incluye opciones sin gluten bajo petición. El espacio combina mesas altas y bajas. Especializado en platos de cuchara tradicionales, resulta ideal para cenas en pareja.",3.66,398
1221,Brasserie Atlántico,mexicana,Barcelona,"Incluye opciones sin gluten bajo petición. Restaurante de cocina americana situado en un entorno moderno y luminoso. Especializado en ramen casero con caldo de larga cocción, resulta ideal para cenas en pareja. La presentación de los platos está muy cuidada.",3.89,95
1222,Curry Gourmet,americana,Madrid,"Restaurante de cocina china situado en un entorno urbano de estilo industrial. Especializado en pizzas artesanales al horno de leña, resulta ideal para comidas de negocio. Se pueden adaptar platos al gusto del cliente. El local admite reservas para grupos grandes.",4.75,315
1223,Sushi Galicia,fusión,Lugo,"Especializado en hamburguesas gourmet con pan brioche, resulta ideal para brunch de fin de semana. Se pueden adaptar platos al gusto del cliente. El servicio es cercano y cuida cada detalle. Restaurante de cocina mediterránea situado en un entorno elegante pero cercano.",4.97,220
1224,Osteria Select,americana,A Coruña,"Restaurante de cocina healthy situado en un entorno informal y desenfadado. Especializado en platos de cuchara tradicionales, resulta ideal para comidas rápidas entre semana. Suele incorporar sugerencias fuera de carta. La cocina es visible desde la sala principal.",4.57,180
1225,Taberna Do Sol,fusión,Bilbao,"Dispone de menú del día con varias alternativas. Especializado en ensaladas healthy con productos de temporada, resulta ideal para reuniones informales. Restaurante de cocina vegana situado en un entorno urbano de estilo industrial. El espacio combina mesas altas y bajas.",4.94,353
1226,Burger Atlántico,italiana,Barcelona,"Restaurante de cocina healthy situado en un entorno moderno y luminoso. Especializado en postres caseros inspirados en recetas locales, resulta ideal para salidas con amigos. La presentación de los platos está muy cuidada. La música de fondo crea un ambiente agradable.",4.3,84
1227,Ramen Do Sol,americana,Lugo,"Es habitual encontrar productos de temporada en el menú. Restaurante de cocina italiana situado en un entorno animado y perfecto para grupos. Especializado en ensaladas healthy con productos de temporada, resulta ideal para celebraciones familiares. Ofrece opciones para vegetarianos y celíacos.",3.75,98
1228,Trattoria Lumière,mexicana,Lugo,"El espacio combina mesas altas y bajas. Especializado en pizzas artesanales al horno de leña, resulta ideal para brunch de fin de semana. El servicio es cercano y cuida cada detalle. Restaurante de cocina italiana situado en un entorno informal y desenfadado.",3.94,165
1229,Tandoori Atlántico,italiana,A Coruña,"Especializado en carnes a la brasa de larga maduración, resulta ideal para comidas de negocio. Restaurante de cocina india situado en un entorno urbano de estilo industrial. La mayoría de los ingredientes son de proximidad. Incluye opciones sin gluten bajo petición.",4.86,182
1230,Trattoria Urbano,japonesa,Ourense,"El equipo de cocina apuesta por sabores intensos. Especializado en platos de cuchara tradicionales, resulta ideal para comidas de negocio. Restaurante de cocina mediterránea situado en un entorno elegante pero cercano. Incluye opciones sin gluten bajo petición.",4.76,31
1231,Asador Del Mar,vegana,Málaga,"Restaurante de cocina india situado en un entorno animado y perfecto para grupos. Especializado en ensaladas healthy con productos de temporada, resulta ideal para brunch de fin de semana. El servicio es cercano y cuida cada detalle. El equipo de cocina apuesta por sabores intensos.",3.51,177
1232,Bistro Rica,italiana,Pontevedra,"Restaurante de cocina italiana situado en un entorno acogedor y cálido. Se pueden adaptar platos al gusto del cliente. Especializado en pizzas artesanales al horno de leña, resulta ideal para brunch de fin de semana. El local admite reservas para grupos grandes.",4.75,359
1233,Brasserie Delicias,mediterránea,Ourense,"Especializado en carnes a la brasa de larga maduración, resulta ideal para eventos de empresa. Restaurante de cocina china situado en un entorno animado y perfecto para grupos. La música de fondo crea un ambiente agradable. El equipo de cocina apuesta por sabores intensos.",3.99,365
1234,Cantina Zen,india,Vigo,"Incluye opciones sin gluten bajo petición. Se pueden adaptar platos al gusto del cliente. Restaurante de cocina mexicana situado en un entorno moderno y luminoso. Especializado en postres caseros inspirados en recetas locales, resulta ideal para comidas de negocio.",4.36,438
1235,Ramen Delicias,italiana,Madrid,"Especializado en hamburguesas gourmet con pan brioche, resulta ideal para celebraciones familiares. Restaurante de cocina italiana situado en un entorno elegante pero cercano. La presentación de los platos está muy cuidada. Dispone de menú del día con varias alternativas.",4.68,492
1236,Trattoria Del Mar,japonesa,Sevilla,"La relación calidad-precio es uno de sus puntos fuertes. El local admite reservas para grupos grandes. Restaurante de cocina americana situado en un entorno animado y perfecto para grupos. Especializado en sushi fresco preparado al momento, resulta ideal para reuniones informales.",3.58,492
1237,Brasserie Delicias,healthy,Málaga,"El equipo de cocina apuesta por sabores intensos. Especializado en tapas variadas para compartir, resulta ideal para comidas de negocio. Restaurante de cocina japonesa situado en un entorno moderno y luminoso. Dispone de menú del día con varias alternativas.",3.52,369
1238,Taberna Zen,mediterránea,Ourense,"Especializado en tacos mexicanos con salsas caseras, resulta ideal para reuniones informales. Restaurante de cocina vegana situado en un entorno urbano de estilo industrial. El equipo de cocina apuesta por sabores intensos. Ofrece opciones para vegetarianos y celíacos.",3.72,190
1239,Taberna House,fusión,Ourense,"Se pueden adaptar platos al gusto del cliente. Dispone de menú del día con varias alternativas. Especializado en tapas variadas para compartir, resulta ideal para comidas rápidas entre semana. Restaurante de cocina mexicana situado en un entorno tranquilo y silencioso.",4.83,440
1240,Taberna Do Sol,japonesa,Bilbao,"Dispone de menú del día con varias alternativas. Restaurante de cocina china situado en un entorno elegante pero cercano. El equipo de cocina apuesta por sabores intensos. Especializado en pizzas artesanales al horno de leña, resulta ideal para comidas rápidas entre semana.",3.66,37
1241,Osteria Select,healthy,Santiago,"La música de fondo crea un ambiente agradable. Especializado en ramen casero con caldo de larga cocción, resulta ideal para eventos de empresa. Restaurante de cocina japonesa situado en un entorno acogedor y cálido. Se pueden adaptar platos al gusto del cliente.",3.64,92
1242,Trattoria Gourmet,mexicana,Ourense,"El espacio combina mesas altas y bajas. Incluye opciones sin gluten bajo petición. Especializado en pizzas artesanales al horno de leña, resulta ideal para eventos de empresa. Restaurante de cocina india situado en un entorno acogedor y cálido.",3.77,28
1243,Grill Castellana,japonesa,Lugo,"Restaurante de cocina healthy situado en un entorno urbano de estilo industrial. La relación calidad-precio es uno de sus puntos fuertes. Cuenta con carta de vinos seleccionada y cervezas artesanas. Especializado en ensaladas healthy con productos de temporada, resulta ideal para brunch de fin de semana.",4.86,269
1244,Taberna Galicia,italiana,Lugo,"La cocina es visible desde la sala principal. Restaurante de cocina gallega situado en un entorno informal y desenfadado. La presentación de los platos está muy cuidada. Especializado en hamburguesas gourmet con pan brioche, resulta ideal para cenas en pareja.",3.52,394
1245,Cantina Urbano,americana,Ourense,"Especializado en postres caseros inspirados en recetas locales, resulta ideal para reuniones informales. Suele incorporar sugerencias fuera de carta. Restaurante de cocina india situado en un entorno acogedor y cálido. Cuenta con carta de vinos seleccionada y cervezas artesanas.",4.35,196
1246,Steakhouse Del Mar,mediterránea,Valencia,"Especializado en ramen casero con caldo de larga cocción, resulta ideal para celebraciones familiares. Cuenta con carta de vinos seleccionada y cervezas artesanas. Suele incorporar sugerencias fuera de carta. Restaurante de cocina japonesa situado en un entorno animado y perfecto para grupos.",4.96,289
1247,Asador Atlántico,healthy,Valencia,"Restaurante de cocina japonesa situado en un entorno urbano de estilo industrial. Especializado en pizzas artesanales al horno de leña, resulta ideal para comidas rápidas entre semana. El espacio combina mesas altas y bajas. El local admite reservas para grupos grandes.",3.76,467
1248,Steakhouse Galicia,gallega,Vigo,"Restaurante de cocina china situado en un entorno urbano de estilo industrial. Suele incorporar sugerencias fuera de carta. Especializado en tapas variadas para compartir, resulta ideal para comidas rápidas entre semana. La cocina es visible desde la sala principal.",4.31,195
1249,Tandoori Del Mar,americana,Zaragoza,"Se pueden adaptar platos al gusto del cliente. Especializado en tacos mexicanos con salsas caseras, resulta ideal para brunch de fin de semana. Dispone de menú del día con varias alternativas. Restaurante de cocina vegana situado en un entorno moderno y luminoso.",4.39,265
1250,Steakhouse Viva,japonesa,Lugo,"Especializado en postres caseros inspirados en recetas locales, resulta ideal para eventos de empresa. Cuenta con carta de vinos seleccionada y cervezas artesanas. La mayoría de los ingredientes son de proximidad. Restaurante de cocina india situado en un entorno elegante pero cercano.",3.89,255
1251,Fonda Fusión,fusión,Zaragoza,"Dispone de menú del día con varias alternativas. Especializado en postres caseros inspirados en recetas locales, resulta ideal para brunch de fin de semana. Es habitual encontrar productos de temporada en el menú. Restaurante de cocina americana situado en un entorno tranquilo y silencioso.",4.96,402
1252,Grill Do Sol,americana,Pontevedra,"Especializado en hamburguesas gourmet con pan brioche, resulta ideal para salidas con amigos. Restaurante de cocina italiana situado en un entorno urbano de estilo industrial. El local admite reservas para grupos grandes. La relación calidad-precio es uno de sus puntos fuertes.",4.18,137
1253,Trattoria House,china,Bilbao,"Especializado en ensaladas healthy con productos de temporada, resulta ideal para salidas con amigos. Restaurante de cocina mexicana situado en un entorno acogedor y cálido. Ofrece opciones para vegetarianos y celíacos. Se pueden adaptar platos al gusto del cliente.",3.92,405
1254,Sushi Rica,fusión,Sevilla,"Dispone de menú del día con varias alternativas. Especializado en ramen casero con caldo de larga cocción, resulta ideal para comidas de negocio. La relación calidad-precio es uno de sus puntos fuertes. Restaurante de cocina india situado en un entorno elegante pero cercano.",4.66,475
1255,Ramen Del Mar,americana,Madrid,"Suele incorporar sugerencias fuera de carta. Especializado en platos de cuchara tradicionales, resulta ideal para eventos de empresa. El servicio es cercano y cuida cada detalle. Restaurante de cocina americana situado en un entorno urbano de estilo industrial.",4.49,182
1256,Veggie Delicias,mediterránea,Málaga,"La música de fondo crea un ambiente agradable. La mayoría de los ingredientes son de proximidad. Especializado en carnes a la brasa de larga maduración, resulta ideal para cenas en pareja. Restaurante de cocina italiana situado en un entorno moderno y luminoso.",3.61,252
1257,Sushi Galicia,mediterránea,Barcelona,"Restaurante de cocina mexicana situado en un entorno elegante pero cercano. Especializado en ensaladas healthy con productos de temporada, resulta ideal para cenas en pareja. Cuenta con carta de vinos seleccionada y cervezas artesanas. Es habitual encontrar productos de temporada en el menú.",4.68,93
1258,Curry Delicias,fusión,A Coruña,"Especializado en hamburguesas gourmet con pan brioche, resulta ideal para salidas con amigos. El local admite reservas para grupos grandes. El espacio combina mesas altas y bajas. Restaurante de cocina fusión situado en un entorno romántico con iluminación tenue.",3.54,344
1259,Brasserie Friends,mexicana,Pontevedra,"La relación calidad-precio es uno de sus puntos fuertes. La música de fondo crea un ambiente agradable. Especializado en hamburguesas gourmet con pan brioche, resulta ideal para comidas rápidas entre semana. Restaurante de cocina gallega situado en un entorno elegante pero cercano.",4.77,64
1260,Tapas House,japonesa,Barcelona,"El equipo de cocina apuesta por sabores intensos. Especializado en tacos mexicanos con salsas caseras, resulta ideal para celebraciones familiares. La música de fondo crea un ambiente agradable. Restaurante de cocina italiana situado en un entorno moderno y luminoso.",3.85,323
1261,Taberna Urbano,italiana,Ourense,"Suele incorporar sugerencias fuera de carta. Especializado en ramen casero con caldo de larga cocción, resulta ideal para comidas de negocio. Restaurante de cocina fusión situado en un entorno elegante pero cercano. Dispone de menú del día con varias alternativas.",4.96,29
1262,Casa Atlántico,vegana,Lugo,"Restaurante de cocina fusión situado en un entorno romántico con iluminación tenue. La música de fondo crea un ambiente agradable. La relación calidad-precio es uno de sus puntos fuertes. Especializado en pizzas artesanales al horno de leña, resulta ideal para brunch de fin de semana.",3.51,280
1263,Wok Do Sol,india,Zaragoza,"Es habitual encontrar productos de temporada en el menú. Especializado en ensaladas healthy con productos de temporada, resulta ideal para celebraciones familiares. El servicio es cercano y cuida cada detalle. Restaurante de cocina china situado en un entorno animado y perfecto para grupos.",4.99,390
1264,Tandoori Roma,fusión,A Coruña,"Especializado en platos de cuchara tradicionales, resulta ideal para cenas en pareja. Restaurante de cocina mediterránea situado en un entorno tranquilo y silencioso. Incluye opciones sin gluten bajo petición. Es habitual encontrar productos de temporada en el menú.",4.04,35
1265,Trattoria Del Mar,italiana,Málaga,"Restaurante de cocina mediterránea situado en un entorno informal y desenfadado. Especializado en tacos mexicanos con salsas caseras, resulta ideal para comidas de negocio. Suele incorporar sugerencias fuera de carta. La música de fondo crea un ambiente agradable.",4.55,175
1266,Burger Lumière,gallega,Santiago,"Restaurante de cocina fusión situado en un entorno tranquilo y silencioso. Especializado en postres caseros inspirados en recetas locales, resulta ideal para comidas rápidas entre semana. La mayoría de los ingredientes son de proximidad. El servicio es cercano y cuida cada detalle.",4.0,127
1267,Taberna Galicia,italiana,Zaragoza,"Dispone de menú del día con varias alternativas. Restaurante de cocina healthy situado en un entorno moderno y luminoso. Especializado en carnes a la brasa de larga maduración, resulta ideal para brunch de fin de semana. El equipo de cocina apuesta por sabores intensos.",3.99,252
1268,Curry Bella,japonesa,Santiago,"Cuenta con carta de vinos seleccionada y cervezas artesanas. Restaurante de cocina mediterránea situado en un entorno acogedor y cálido. Especializado en hamburguesas gourmet con pan brioche, resulta ideal para comidas de negocio. La relación calidad-precio es uno de sus puntos fuertes.",4.45,486
1269,Grill Centro,mexicana,Pontevedra,"Restaurante de cocina mexicana situado en un entorno romántico con iluminación tenue. La música de fondo crea un ambiente agradable. Especializado en pizzas artesanales al horno de leña, resulta ideal para salidas con amigos. La relación calidad-precio es uno de sus puntos fuertes.",4.73,383
1270,Tapas Atlántico,mediterránea,Zaragoza,"El equipo de cocina apuesta por sabores intensos. Ofrece opciones para vegetarianos y celíacos. Restaurante de cocina italiana situado en un entorno animado y perfecto para grupos. Especializado en pizzas artesanales al horno de leña, resulta ideal para comidas rápidas entre semana.",3.97,255
1271,Ramen Galicia,vegana,Sevilla,"Especializado en hamburguesas gourmet con pan brioche, resulta ideal para comidas de negocio. Restaurante de cocina fusión situado en un entorno animado y perfecto para grupos. Incluye opciones sin gluten bajo petición. La mayoría de los ingredientes son de proximidad.",3.79,491
1272,Fonda Friends,mediterránea,Málaga,"Restaurante de cocina mexicana situado en un entorno urbano de estilo industrial. El local admite reservas para grupos grandes. Es habitual encontrar productos de temporada en el menú. Especializado en carnes a la brasa de larga maduración, resulta ideal para brunch de fin de semana.",4.76,362
1273,Bistro Atlántico,mexicana,Sevilla,"Especializado en hamburguesas gourmet con pan brioche, resulta ideal para cenas en pareja. La mayoría de los ingredientes son de proximidad. Restaurante de cocina vegana situado en un entorno informal y desenfadado. La música de fondo crea un ambiente agradable.",3.88,480
1274,Osteria Roma,vegana,Málaga,"Especializado en platos de cuchara tradicionales, resulta ideal para eventos de empresa. Restaurante de cocina japonesa situado en un entorno urbano de estilo industrial. Es habitual encontrar productos de temporada en el menú. Ofrece opciones para vegetarianos y celíacos.",4.19,311
1275,Taberna Gourmet,japonesa,Sevilla,"Restaurante de cocina vegana situado en un entorno animado y perfecto para grupos. La mayoría de los ingredientes son de proximidad. La música de fondo crea un ambiente agradable. Especializado en carnes a la brasa de larga maduración, resulta ideal para salidas con amigos.",4.31,168
1276,Steakhouse Select,gallega,Málaga,"Especializado en sushi fresco preparado al momento, resulta ideal para comidas rápidas entre semana. El servicio es cercano y cuida cada detalle. Es habitual encontrar productos de temporada en el menú. Restaurante de cocina mediterránea situado en un entorno elegante pero cercano.",4.78,340
1277,Burger Friends,vegana,Vigo,"Especializado en ramen casero con caldo de larga cocción, resulta ideal para salidas con amigos. Se pueden adaptar platos al gusto del cliente. La música de fondo crea un ambiente agradable. Restaurante de cocina italiana situado en un entorno moderno y luminoso.",4.21,191
1278,Veggie Del Mar,vegana,A Coruña,"Especializado en postres caseros inspirados en recetas locales, resulta ideal para cenas en pareja. La mayoría de los ingredientes son de proximidad. El local admite reservas para grupos grandes. Restaurante de cocina mediterránea situado en un entorno romántico con iluminación tenue.",4.23,448
1279,Curry Centro,mexicana,Barcelona,"La mayoría de los ingredientes son de proximidad. Dispone de menú del día con varias alternativas. Restaurante de cocina fusión situado en un entorno romántico con iluminación tenue. Especializado en sushi fresco preparado al momento, resulta ideal para brunch de fin de semana.",3.53,426
1280,Wok Delicias,vegana,Lugo,"El local admite reservas para grupos grandes. Restaurante de cocina mexicana situado en un entorno animado y perfecto para grupos. Especializado en pizzas artesanales al horno de leña, resulta ideal para eventos de empresa. Suele incorporar sugerencias fuera de carta.",3.78,228
1281,Fonda House,gallega,Barcelona,"Especializado en tacos mexicanos con salsas caseras, resulta ideal para comidas rápidas entre semana. Ofrece opciones para vegetarianos y celíacos. Restaurante de cocina mediterránea situado en un entorno informal y desenfadado. La relación calidad-precio es uno de sus puntos fuertes.",4.87,94
1282,Casa Viva,gallega,Barcelona,"Especializado en pizzas artesanales al horno de leña, resulta ideal para comidas de negocio. Restaurante de cocina americana situado en un entorno urbano de estilo industrial. Ofrece opciones para vegetarianos y celíacos. La presentación de los platos está muy cuidada.",4.1,222
1283,Steakhouse Centro,healthy,Lugo,"La relación calidad-precio es uno de sus puntos fuertes. Especializado en tapas variadas para compartir, resulta ideal para comidas de negocio. Restaurante de cocina mediterránea situado en un entorno animado y perfecto para grupos. Dispone de menú del día con varias alternativas.",4.27,233
1284,Osteria Friends,japonesa,Bilbao,"Especializado en carnes a la brasa de larga maduración, resulta ideal para salidas con amigos. La cocina es visible desde la sala principal. Se pueden adaptar platos al gusto del cliente. Restaurante de cocina americana situado en un entorno informal y desenfadado.",4.15,131
1285,Veggie Zen,india,Vigo,"Ofrece opciones para vegetarianos y celíacos. Especializado en platos de cuchara tradicionales, resulta ideal para celebraciones familiares. Restaurante de cocina mediterránea situado en un entorno tranquilo y silencioso. Suele incorporar sugerencias fuera de carta.",4.9,399
1286,Sushi Viva,healthy,Lugo,"Suele incorporar sugerencias fuera de carta. Restaurante de cocina americana situado en un entorno urbano de estilo industrial. Incluye opciones sin gluten bajo petición. Especializado en platos de cuchara tradicionales, resulta ideal para comidas rápidas entre semana.",3.79,119
1287,Grill Delicias,americana,Zaragoza,"El espacio combina mesas altas y bajas. La cocina es visible desde la sala principal. Restaurante de cocina italiana situado en un entorno animado y perfecto para grupos. Especializado en ramen casero con caldo de larga cocción, resulta ideal para comidas rápidas entre semana.",4.81,451
1288,Wok Castellana,fusión,Málaga,"La mayoría de los ingredientes son de proximidad. Restaurante de cocina americana situado en un entorno elegante pero cercano. El local admite reservas para grupos grandes. Especializado en hamburguesas gourmet con pan brioche, resulta ideal para brunch de fin de semana.",4.45,39
1289,Wok Bella,fusión,Bilbao,"El local admite reservas para grupos grandes. Restaurante de cocina italiana situado en un entorno romántico con iluminación tenue. Especializado en sushi fresco preparado al momento, resulta ideal para cenas en pareja. El equipo de cocina apuesta por sabores intensos.",4.39,435
1290,Osteria Viva,gallega,Pontevedra,"Especializado en postres caseros inspirados en recetas locales, resulta ideal para brunch de fin de semana. Restaurante de cocina china situado en un entorno acogedor y cálido. La relación calidad-precio es uno de sus puntos fuertes. La música de fondo crea un ambiente agradable.",3.69,459
1291,Veggie Atlántico,vegana,Barcelona,"Restaurante de cocina mexicana situado en un entorno tranquilo y silencioso. La música de fondo crea un ambiente agradable. Especializado en postres caseros inspirados en recetas locales, resulta ideal para comidas rápidas entre semana. El equipo de cocina apuesta por sabores intensos.",4.52,242
1292,Tapas Atlántico,mediterránea,Ourense,"Especializado en platos de cuchara tradicionales, resulta ideal para reuniones informales. Restaurante de cocina mediterránea situado en un entorno animado y perfecto para grupos. La música de fondo crea un ambiente agradable. La mayoría de los ingredientes son de proximidad.",4.48,241
1293,Ramen Centro,mediterránea,Lugo,"Restaurante de cocina italiana situado en un entorno animado y perfecto para grupos. Incluye opciones sin gluten bajo petición. Especializado en ramen casero con caldo de larga cocción, resulta ideal para comidas rápidas entre semana. Suele incorporar sugerencias fuera de carta.",4.44,119
1294,Osteria Roma,china,Ourense,"Restaurante de cocina mediterránea situado en un entorno informal y desenfadado. Especializado en tapas variadas para compartir, resulta ideal para brunch de fin de semana. La música de fondo crea un ambiente agradable. La mayoría de los ingredientes son de proximidad.",3.51,191
1295,Osteria Rica,gallega,Santiago,"La presentación de los platos está muy cuidada. El local admite reservas para grupos grandes. Especializado en ensaladas healthy con productos de temporada, resulta ideal para reuniones informales. Restaurante de cocina vegana situado en un entorno elegante pero cercano.",4.69,464
1296,Pizzería Urbano,fusión,Ourense,"Incluye opciones sin gluten bajo petición. Se pueden adaptar platos al gusto del cliente. Especializado en carnes a la brasa de larga maduración, resulta ideal para comidas de negocio. Restaurante de cocina india situado en un entorno animado y perfecto para grupos.",4.33,36
1297,Osteria Galicia,gallega,Zaragoza,"Restaurante de cocina italiana situado en un entorno tranquilo y silencioso. La mayoría de los ingredientes son de proximidad. Especializado en platos de cuchara tradicionales, resulta ideal para celebraciones familiares. La cocina es visible desde la sala principal.",3.67,287
1298,Taberna Centro,fusión,Lugo,"Dispone de menú del día con varias alternativas. Especializado en postres caseros inspirados en recetas locales, resulta ideal para brunch de fin de semana. Restaurante de cocina india situado en un entorno elegante pero cercano. Se pueden adaptar platos al gusto del cliente.",4.65,382
